"gID";"T";"x";"y";"itemInCraneID"
0;16905.0;995;5;null
1;16905.0;1015;5;1116
0;16915.0;995;5;null
1;16915.0;1015;5;null
0;17077.0;185;75;null
1;17077.0;205;75;null
1;17077.0;205;75;null
0;17087.0;185;75;null
1;17087.0;205;75;1979
0;17249.0;995;5;null
1;17249.0;1015;5;1979
0;17259.0;995;5;null
1;17259.0;1015;5;null
0;17347.0;555;35;null
1;17347.0;575;35;null
0;17357.0;555;35;1287
1;17357.0;575;35;null
0;17361.0;535;45;1287
1;17361.0;555;45;null
0;17371.0;535;45;null
1;17371.0;555;45;null
0;17372.0;535;35;null
1;17372.0;555;35;null
0;17382.0;535;35;null
1;17382.0;555;35;471
0;17386.0;515;15;null
1;17386.0;535;15;471
0;17396.0;515;15;null
1;17396.0;535;15;null
0;17400.0;535;35;null
1;17400.0;555;35;null
0;17410.0;535;35;null
1;17410.0;555;35;382
0;17502.0;995;5;null
1;17502.0;1015;5;382
0;17512.0;995;5;null
1;17512.0;1015;5;null
0;17520.0;955;25;null
1;17520.0;975;25;null
0;17530.0;955;25;2034
1;17530.0;975;25;null
0;17620.0;505;95;2034
1;17620.0;525;95;null
0;17630.0;505;95;null
1;17630.0;525;95;null
0;17716.0;935;25;null
1;17716.0;955;25;null
0;17726.0;935;25;null
1;17726.0;955;25;1263
0;17738.0;995;5;null
1;17738.0;1015;5;1263
0;17748.0;995;5;null
1;17748.0;1015;5;null
0;17852.0;475;35;null
1;17852.0;495;35;null
1;17852.0;495;35;null
0;17862.0;475;35;null
1;17862.0;495;35;2608
0;17966.0;995;5;null
1;17966.0;1015;5;2608
0;17976.0;995;5;null
1;17976.0;1015;5;null
0;17998.0;885;85;null
1;17998.0;905;85;null
1;17998.0;905;85;null
0;18008.0;885;85;null
1;18008.0;905;85;1167
0;18030.0;995;5;null
1;18030.0;1015;5;1167
0;18040.0;995;5;null
1;18040.0;1015;5;null
0;18074.0;825;65;null
1;18074.0;845;65;null
0;18084.0;825;65;2183
1;18084.0;845;65;null
0;18150.0;495;35;2183
1;18150.0;515;35;null
0;18160.0;495;35;null
1;18160.0;515;35;null
0;18222.0;805;65;null
1;18222.0;825;65;null
0;18232.0;805;65;null
1;18232.0;825;65;1518
0;18270.0;995;5;null
1;18270.0;1015;5;1518
0;18280.0;995;5;null
1;18280.0;1015;5;null
0;18442.0;185;5;null
1;18442.0;205;5;null
0;18452.0;185;5;2184
1;18452.0;205;5;null
0;18490.0;375;85;2184
1;18490.0;395;85;null
0;18500.0;375;85;null
1;18500.0;395;85;null
0;18542.0;165;5;null
1;18542.0;185;5;null
0;18552.0;165;5;null
1;18552.0;185;5;1398
0;18557.0;165;55;null
1;18557.0;185;55;1398
0;18567.0;165;55;null
1;18567.0;185;55;null
0;18572.0;165;5;null
1;18572.0;185;5;null
0;18582.0;165;5;null
1;18582.0;185;5;1385
0;18748.0;995;5;null
1;18748.0;1015;5;1385
0;18758.0;995;5;null
1;18758.0;1015;5;null
0;18832.0;625;45;null
1;18832.0;645;45;null
1;18832.0;645;45;null
0;18842.0;625;45;null
1;18842.0;645;45;608
0;18916.0;995;5;null
1;18916.0;1015;5;608
0;18926.0;995;5;null
1;18926.0;1015;5;null
0;19120.0;25;55;null
1;19120.0;45;55;null
0;19130.0;25;55;2477
1;19130.0;45;55;null
0;19220.0;475;25;2477
1;19220.0;495;25;null
0;19230.0;475;25;null
1;19230.0;495;25;null
0;19324.0;5;55;null
1;19324.0;25;55;null
0;19334.0;5;55;null
1;19334.0;25;55;390
0;19532.0;995;5;null
1;19532.0;1015;5;390
0;19542.0;995;5;null
1;19542.0;1015;5;null
0;19646.0;475;25;null
1;19646.0;495;25;null
1;19646.0;495;25;null
0;19656.0;475;25;null
1;19656.0;495;25;2504
0;19760.0;995;5;null
1;19760.0;1015;5;2504
0;19770.0;995;5;null
1;19770.0;1015;5;null
0;19972.0;-15;35;null
1;19972.0;5;35;null
1;19972.0;5;35;null
0;19982.0;-15;35;null
1;19982.0;5;35;1464
0;20184.0;995;5;null
1;20184.0;1015;5;1464
0;20194.0;995;5;null
1;20194.0;1015;5;null
0;20234.0;795;55;null
1;20234.0;815;55;null
1;20234.0;815;55;null
0;20244.0;795;55;null
1;20244.0;815;55;1275
0;20284.0;995;5;null
1;20284.0;1015;5;1275
0;20294.0;995;5;null
1;20294.0;1015;5;null
0;20410.0;415;65;null
1;20410.0;435;65;null
1;20410.0;435;65;null
0;20420.0;415;65;null
1;20420.0;435;65;654
0;20536.0;995;5;null
1;20536.0;1015;5;654
0;20546.0;995;5;null
1;20546.0;1015;5;null
0;20614.0;655;65;null
1;20614.0;675;65;null
0;20624.0;655;65;1278
1;20624.0;675;65;null
0;20714.0;205;75;1278
1;20714.0;225;75;null
0;20724.0;205;75;null
1;20724.0;225;75;null
0;20810.0;635;65;null
1;20810.0;655;65;null
0;20820.0;635;65;null
1;20820.0;655;65;1060
0;20822.0;625;45;null
1;20822.0;645;45;1060
0;20832.0;625;45;null
1;20832.0;645;45;null
0;20834.0;635;65;null
1;20834.0;655;65;null
0;20844.0;635;65;null
1;20844.0;655;65;165
0;20916.0;995;5;null
1;20916.0;1015;5;165
0;20926.0;995;5;null
1;20926.0;1015;5;null
0;21064.0;305;25;null
1;21064.0;325;25;null
1;21064.0;325;25;null
0;21074.0;305;25;null
1;21074.0;325;25;2602
0;21212.0;995;5;null
1;21212.0;1015;5;2602
0;21222.0;995;5;null
1;21222.0;1015;5;null
0;21424.0;-15;85;null
1;21424.0;5;85;null
1;21424.0;5;85;null
0;21434.0;-15;85;null
1;21434.0;5;85;2600
0;21442.0;-15;5;null
1;21636.0;1015;5;2600
1;21646.0;1015;5;null
1;21646.0;1015;5;null
